

name,technology,composition,price,manufacturer,website,color,opacity,tags,diameter,filament_extrusion_to_flow_multiplier,temp_extrude_default,temp_extrude_min,temp_extrude_max,bed_temp,min_nozzle_diameter,extruder_fan_speed,bed_material,buy_now
"CBD Chitu V 3.6 3D Printer Controller Board","FDM","null","
										$81.90										","3DFilamenta","http://3dfilamenta.com/","null","1","null","1.75","1","200","190","210","60","","255","blue tape, glass, glue stick","http://3dfilamenta.com/3dfmstore/3d-printer-controllers/24-cbd-chitu-v-36-3d-printer-controller-board.html",
"SS316L Stainless Steel Powder","FDM","null","
										$73.00										","3DFilamenta","http://3dfilamenta.com/","null","1","null","1.75","1","200","190","210","60","","255","blue tape, glass, glue stick","http://3dfilamenta.com/3dfmstore/metals-powders/25-ss316-stainless-steel-powder.html",
"CBD Chitu WiFi Module Addon","FDM","null","
										$18.00										","3DFilamenta","http://3dfilamenta.com/","null","1","null","1.75","1","200","190","210","60","","255","blue tape, glass, glue stick","http://3dfilamenta.com/3dfmstore/3d-printer-components/27-cbd-chitu-wifi-module-addon.html",
"3DFM ABS Filament- Natural","FDM","null","
						$19.90						","3DFilamenta","http://3dfilamenta.com/","null","1","null","1.75","1","230","200","250","110","","0","kapton, abs slurry, acrylic, blue tape","http://3dfilamenta.com/3dfmstore/3d-printer-consumables/35-3dfm-abs-filament-natural.html",
"3DFM ABS Filament- Yellow","FDM","null","
						$19.90						","3DFilamenta","http://3dfilamenta.com/","null","1","null","1.75","1","230","200","250","110","","0","kapton, abs slurry, acrylic, blue tape","http://3dfilamenta.com/3dfmstore/3d-printer-filaments/37-3dfm-abs-filament-yellow.html",
"3DFM ABS Filament- Green","FDM","null","
						$19.90						","3DFilamenta","http://3dfilamenta.com/","null","1","null","1.75","1","230","200","250","110","","0","kapton, abs slurry, acrylic, blue tape","http://3dfilamenta.com/3dfmstore/3d-printer-consumables/36-3dfm-abs-filament-green.html",
"3DFM ABS Filament- Blue","FDM","null","
						$19.90						","3DFilamenta","http://3dfilamenta.com/","null","1","null","1.75","1","230","200","250","110","","0","kapton, abs slurry, acrylic, blue tape","http://3dfilamenta.com/3dfmstore/3d-printer-consumables/39-3dfm-abs-filament-blue.html",
"3DFM ABS Filament- Black","FDM","null","
						$19.90						","3DFilamenta","http://3dfilamenta.com/","null","1","null","1.75","1","230","200","250","110","","0","kapton, abs slurry, acrylic, blue tape","http://3dfilamenta.com/3dfmstore/3d-printer-consumables/40-3dfm-abs-filament-black.html",
"3DFM ABS Filament- Orange","FDM","null","
						$19.90						","3DFilamenta","http://3dfilamenta.com/","null","1","null","1.75","1","230","200","250","110","","0","kapton, abs slurry, acrylic, blue tape","http://3dfilamenta.com/3dfmstore/3d-printer-consumables/41-3dfm-abs-filament-orange.html",
"3DFM ABS Filament- Pink","FDM","null","
						$19.90						","3DFilamenta","http://3dfilamenta.com/","null","1","null","1.75","1","230","200","250","110","","0","kapton, abs slurry, acrylic, blue tape","http://3dfilamenta.com/3dfmstore/3d-printer-consumables/42-3dfm-abs-filament-pink.html",
"3DFM ABS Filament- Purple","FDM","null","
						$19.90						","3DFilamenta","http://3dfilamenta.com/","null","1","null","1.75","1","230","200","250","110","","0","kapton, abs slurry, acrylic, blue tape","http://3dfilamenta.com/3dfmstore/3d-printer-consumables/43-3dfm-abs-filament-purple.html",
"3DFM ABS Filament- Red","FDM","null","
						$19.90						","3DFilamenta","http://3dfilamenta.com/","null","1","null","1.75","1","230","200","250","110","","0","kapton, abs slurry, acrylic, blue tape","http://3dfilamenta.com/3dfmstore/3d-printer-consumables/44-3dfm-abs-filament-red.html",
